Name,Technology,rating, Plays
House of Hazards,WebGL,82%,"14,293 plays"
Mr.Cop Master,HTML5,68%,"682,120 plays"
Rock and Race Driver,WebGL,83%,"124,585 plays"
Stretch Guy,WebGL,76%,"131,265 plays"
Stair Run Online,HTML5,73%,"1,615,034 plays"
Insta Girls #OOTD,HTML5,90%,"24,544 plays"
Addicting Stunt Racing,WebGL,71%,"3,846 plays"
Gtr Drift,WebGL,87%,"22,374 plays"
Pawn Boss,HTML5,57%,"58,244 plays"
Yummy Toast,HTML5,78%,"138,133 plays"
Hidden Objects: Cure for the Prince,HTML5,69%,"3,309 plays"
Shopping Mall Tycoon,HTML5,83%,"16,879 plays"
Pencil Rush Online,HTML5,77%,"299,440 plays"
Soccer Caps League,HTML5,67%,"5,198 plays"
